Epoch		Step		TotalStep		Det-loss		Reg-loss		TrainMode
1		50		50		0.9522		None		0
1		100		100		0.8719		None		0
1		150		150		0.8107		None		0
1		200		200		0.6909		None		0
1		250		250		0.4345		None		0
1		300		300		0.1917		None		0
1		350		350		0.1355		None		0
1		400		400		0.1218		None		0
1		450		450		0.0770		None		0
1		500		500		0.0543		None		0
1		550		550		0.0530		None		0
1		600		600		0.0525		None		0
1		650		650		0.0634		None		0
1		700		700		0.0620		None		0
1		750		750		0.0320		None		0
2		50		800		0.0480		None		0
2		100		850		0.0321		None		0
2		150		900		0.0321		None		0
2		200		950		0.0309		None		0
2		250		1000		0.0332		None		0
2		300		1050		0.0270		None		0
2		350		1100		0.0241		None		0
2		400		1150		0.0334		None		0
2		450		1200		0.0296		None		0
2		500		1250		0.0257		None		0
2		550		1300		0.0244		None		0
2		600		1350		0.0234		None		0
2		650		1400		0.0234		None		0
2		700		1450		0.0211		None		0
2		750		1500		0.0158		None		0
3		50		1550		0.0242		None		0
3		100		1600		0.0284		None		0
3		150		1650		0.0155		None		0
3		200		1700		0.0198		None		0
3		250		1750		0.0185		None		0
3		300		1800		0.0165		None		0
3		350		1850		0.0184		None		0
3		400		1900		0.0261		None		0
3		450		1950		0.0184		None		0
3		500		2000		0.0238		None		0
3		550		2050		0.0188		None		0
3		600		2100		0.0414		None		0
3		650		2150		0.0143		None		0
3		700		2200		0.0154		None		0
3		750		2250		0.0124		None		0
4		50		2300		0.0099		None		0
4		100		2350		0.0364		None		0
4		150		2400		0.0162		None		0
4		200		2450		0.0163		None		0
4		250		2500		0.0124		None		0
4		300		2550		0.0261		None		0
4		350		2600		0.0128		None		0
4		400		2650		0.0207		None		0
4		450		2700		0.0142		None		0
4		500		2750		0.0143		None		0
4		550		2800		0.0117		None		0
4		600		2850		0.0273		None		0
4		650		2900		0.0135		None		0
4		700		2950		0.0242		None		0
4		750		3000		0.0115		None		0
5		50		3050		0.0185		None		0
5		100		3100		0.0171		None		0
5		150		3150		0.0133		None		0
5		200		3200		0.0139		None		0
5		250		3250		0.0107		None		0
5		300		3300		0.0109		None		0
5		350		3350		0.0126		None		0
5		400		3400		0.0161		None		0
5		450		3450		0.0107		None		0
5		500		3500		0.0139		None		0
5		550		3550		0.0102		None		0
5		600		3600		0.0154		None		0
5		650		3650		0.0134		None		0
5		700		3700		0.0103		None		0
5		750		3750		0.0113		None		0
6		50		3800		0.0106		None		0
6		100		3850		0.0139		None		0
6		150		3900		0.0146		None		0
6		200		3950		0.0154		None		0
6		250		4000		0.0119		None		0
6		300		4050		0.0150		None		0
6		350		4100		0.0116		None		0
6		400		4150		0.0086		None		0
6		450		4200		0.0115		None		0
6		500		4250		0.0142		None		0
6		550		4300		0.0156		None		0
6		600		4350		0.0141		None		0
6		650		4400		0.0145		None		0
6		700		4450		0.0094		None		0
6		750		4500		0.0141		None		0
7		50		4550		0.0139		None		0
7		100		4600		0.0111		None		0
7		150		4650		0.0126		None		0
7		200		4700		0.0091		None		0
7		250		4750		0.0134		None		0
7		300		4800		0.0130		None		0
7		350		4850		0.0189		None		0
7		400		4900		0.0081		None		0
7		450		4950		0.0089		None		0
7		500		5000		0.0183		None		0
7		550		5050		0.0435		None		0
7		600		5100		0.0231		None		0
7		650		5150		0.0110		None		0
7		700		5200		0.0224		None		0
7		750		5250		0.0094		None		0
8		50		5300		0.0065		None		0
8		100		5350		0.0099		None		0
8		150		5400		0.0126		None		0
8		200		5450		0.0252		None		0
8		250		5500		0.0146		None		0
8		300		5550		0.0120		None		0
8		350		5600		0.0123		None		0
8		400		5650		0.0156		None		0
8		450		5700		0.0096		None		0
8		500		5750		0.0151		None		0
8		550		5800		0.0093		None		0
8		600		5850		0.0099		None		0
8		650		5900		0.0103		None		0
