Epoch		Step		TotalStep		Det-loss		Reg-loss		TrainMode
1		50		50		0.9575		None		0
1		100		100		0.8255		None		0
1		150		150		0.6835		None		0
1		200		200		0.6506		None		0
1		250		250		0.6079		None		0
1		300		300		0.3773		None		0
1		350		350		0.2385		None		0
1		400		400		0.1581		None		0
1		450		450		0.1071		None		0
1		500		500		0.0977		None		0
1		550		550		0.0820		None		0
1		600		600		0.0734		None		0
1		650		650		0.0719		None		0
1		700		700		0.0749		None		0
1		750		750		0.0437		None		0
1		800		800		0.0390		None		0
1		850		850		0.0679		None		0
1		900		900		0.0415		None		0
1		950		950		0.0658		None		0
1		1000		1000		0.0408		None		0
1		1050		1050		0.0304		None		0
1		1100		1100		0.0285		None		0
1		1150		1150		0.0326		None		0
1		1200		1200		0.0381		None		0
1		1250		1250		0.0342		None		0
1		1300		1300		0.0252		None		0
1		1350		1350		0.0294		None		0
1		1400		1400		0.0272		None		0
1		1450		1450		0.0324		None		0
1		1500		1500		0.0362		None		0
2		50		1550		0.0236		None		0
2		100		1600		0.0535		None		0
2		150		1650		0.0404		None		0
2		200		1700		0.0207		None		0
2		250		1750		0.0281		None		0
2		300		1800		0.0267		None		0
2		350		1850		0.0202		None		0
2		400		1900		0.0176		None		0
2		450		1950		0.0269		None		0
2		500		2000		0.0193		None		0
2		550		2050		0.0331		None		0
2		600		2100		0.0205		None		0
2		650		2150		0.0174		None		0
2		700		2200		0.0312		None		0
2		750		2250		0.0257		None		0
2		800		2300		0.0167		None		0
2		850		2350		0.0750		None		0
2		900		2400		0.0395		None		0
2		950		2450		0.0237		None		0
2		1000		2500		0.0254		None		0
2		1050		2550		0.0239		None		0
2		1100		2600		0.0236		None		0
2		1150		2650		0.0178		None		0
2		1200		2700		0.0246		None		0
2		1250		2750		0.0209		None		0
2		1300		2800		0.0193		None		0
2		1350		2850		0.0222		None		0
2		1400		2900		0.0231		None		0
2		1450		2950		0.0222		None		0
2		1500		3000		0.0184		None		0
3		50		3050		0.0159		None		0
3		100		3100		0.0158		None		0
3		150		3150		0.0171		None		0
3		200		3200		0.0169		None		0
3		250		3250		0.0126		None		0
3		300		3300		0.0152		None		0
3		350		3350		0.0155		None		0
3		400		3400		0.0133		None		0
3		450		3450		0.0157		None		0
3		500		3500		0.0222		None		0
3		550		3550		0.0127		None		0
3		600		3600		0.0143		None		0
3		650		3650		0.0167		None		0
3		700		3700		0.0134		None		0
3		750		3750		0.0172		None		0
3		800		3800		0.0183		None		0
3		850		3850		0.0178		None		0
3		900		3900		0.0152		None		0
3		950		3950		0.0241		None		0
3		1000		4000		0.0141		None		0
3		1050		4050		0.0208		None		0
3		1100		4100		0.0214		None		0
3		1150		4150		0.0134		None		0
3		1200		4200		0.0162		None		0
3		1250		4250		0.0117		None		0
3		1300		4300		0.0129		None		0
3		1350		4350		0.0236		None		0
3		1400		4400		0.0118		None		0
3		1450		4450		0.0270		None		0
3		1500		4500		0.0169		None		0
4		50		4550		0.0206		None		0
4		100		4600		0.0120		None		0
4		150		4650		0.0121		None		0
4		200		4700		0.0169		None		0
4		250		4750		0.0186		None		0
4		300		4800		0.0113		None		0
4		350		4850		0.0185		None		0
4		400		4900		0.0156		None		0
4		450		4950		0.0178		None		0
4		500		5000		0.0281		None		0
4		550		5050		0.0194		None		0
4		600		5100		0.0186		None		0
4		650		5150		0.0138		None		0
4		700		5200		0.0209		None		0
4		750		5250		0.0133		None		0
4		800		5300		0.0131		None		0
4		850		5350		0.0133		None		0
4		900		5400		0.0120		None		0
4		950		5450		0.0145		None		0
4		1000		5500		0.0147		None		0
4		1050		5550		0.0269		None		0
4		1100		5600		0.0114		None		0
4		1150		5650		0.0090		None		0
4		1200		5700		0.0117		None		0
4		1250		5750		0.0162		None		0
4		1300		5800		0.0146		None		0
4		1350		5850		0.0170		None		0
4		1400		5900		0.0109		None		0
4		1450		5950		0.0125		None		0
4		1500		6000		0.0095		None		0
5		50		6050		0.0239		None		0
5		100		6100		0.0168		None		0
5		150		6150		0.0160		None		0
5		200		6200		0.0125		None		0
5		250		6250		0.0161		None		0
5		300		6300		0.0121		None		0
5		350		6350		0.0230		None		0
5		400		6400		0.0167		None		0
5		450		6450		0.0114		None		0
5		500		6500		0.0131		None		0
5		550		6550		0.0127		None		0
5		600		6600		0.0078		None		0
5		650		6650		0.0119		None		0
5		700		6700		0.0140		None		0
5		750		6750		0.0116		None		0
5		800		6800		0.0085		None		0
5		850		6850		0.0101		None		0
5		900		6900		0.0140		None		0
5		950		6950		0.0092		None		0
5		1000		7000		0.0150		None		0
5		1050		7050		0.0086		None		0
5		1100		7100		0.0099		None		0
5		1150		7150		0.0100		None		0
5		1200		7200		0.0149		None		0
5		1250		7250		0.0097		None		0
5		1300		7300		0.0153		None		0
5		1350		7350		0.0117		None		0
5		1400		7400		0.0076		None		0
5		1450		7450		0.0086		None		0
5		1500		7500		0.0134		None		0
6		50		7550		0.0108		None		0
6		100		7600		0.0122		None		0
6		150		7650		0.0126		None		0
6		200		7700		0.0294		None		0
6		250		7750		0.0164		None		0
6		300		7800		0.0130		None		0
6		350		7850		0.0162		None		0
6		400		7900		0.0108		None		0
6		450		7950		0.0086		None		0
6		500		8000		0.0233		None		0
6		550		8050		0.0090		None		0
6		600		8100		0.0080		None		0
6		650		8150		0.0172		None		0
6		700		8200		0.0175		None		0
6		750		8250		0.0103		None		0
6		800		8300		0.0103		None		0
6		850		8350		0.0086		None		0
6		900		8400		0.0092		None		0
6		950		8450		0.0181		None		0
6		1000		8500		0.0095		None		0
6		1050		8550		0.0117		None		0
6		1100		8600		0.0081		None		0
6		1150		8650		0.0093		None		0
6		1200		8700		0.0082		None		0
6		1250		8750		0.0084		None		0
6		1300		8800		0.0131		None		0
6		1350		8850		0.0080		None		0
6		1400		8900		0.0094		None		0
6		1450		8950		0.0113		None		0
6		1500		9000		0.0119		None		0
7		50		9050		0.0074		None		0
7		100		9100		0.0101		None		0
7		150		9150		0.0097		None		0
7		200		9200		0.0112		None		0
7		250		9250		0.0086		None		0
7		300		9300		0.0126		None		0
7		350		9350		0.0168		None		0
7		400		9400		0.0141		None		0
7		450		9450		0.0119		None		0
7		500		9500		0.0106		None		0
7		550		9550		0.0114		None		0
7		600		9600		0.0215		None		0
7		650		9650		0.0131		None		0
7		700		9700		0.0129		None		0
7		750		9750		0.0110		None		0
7		800		9800		0.0116		None		0
7		850		9850		0.0188		None		0
7		900		9900		0.0099		None		0
7		950		9950		0.0086		None		0
7		1000		10000		0.0123		None		0
7		1050		10050		0.0076		None		0
7		1100		10100		0.0061		None		0
7		1150		10150		0.0072		None		0
7		1200		10200		0.0086		None		0
7		1250		10250		0.0096		None		0
7		1300		10300		0.0089		None		0
7		1350		10350		0.0108		None		0
7		1400		10400		0.0090		None		0
7		1450		10450		0.0083		None		0
7		1500		10500		0.0103		None		0
8		50		10550		0.0081		None		0
8		100		10600		0.0070		None		0
8		150		10650		0.0092		None		0
8		200		10700		0.0076		None		0
8		250		10750		0.0107		None		0
8		300		10800		0.0085		None		0
8		350		10850		0.0092		None		0
8		400		10900		0.0080		None		0
8		450		10950		0.0084		None		0
8		500		11000		0.0105		None		0
8		550		11050		0.0098		None		0
8		600		11100		0.0104		None		0
8		650		11150		0.0068		None		0
8		700		11200		0.0120		None		0
8		750		11250		0.0115		None		0
8		800		11300		0.0134		None		0
8		850		11350		0.0087		None		0
8		900		11400		0.0094		None		0
8		950		11450		0.0089		None		0
8		1000		11500		0.0122		None		0
8		1050		11550		0.0087		None		0
8		1100		11600		0.0395		None		0
8		1150		11650		0.0146		None		0
8		1200		11700		0.0116		None		0
8		1250		11750		0.0110		None		0
8		1300		11800		0.0106		None		0
8		1350		11850		0.0107		None		0
8		1400		11900		0.0063		None		0
8		1450		11950		0.0090		None		0
8		1500		12000		0.0151		None		0
9		50		12050		0.0072		None		0
9		100		12100		0.0082		None		0
9		150		12150		0.0088		None		0
9		200		12200		0.0107		None		0
9		250		12250		0.0100		None		0
9		300		12300		0.0049		None		0
9		350		12350		0.0081		None		0
9		400		12400		0.0154		None		0
9		450		12450		0.0112		None		0
9		500		12500		0.0166		None		0
9		550		12550		0.0090		None		0
9		600		12600		0.0149		None		0
9		650		12650		0.0082		None		0
9		700		12700		0.0080		None		0
9		750		12750		0.0075		None		0
9		800		12800		0.0088		None		0
9		850		12850		0.0084		None		0
9		900		12900		0.0103		None		0
9		950		12950		0.0068		None		0
9		1000		13000		0.0130		None		0
9		1050		13050		0.0133		None		0
9		1100		13100		0.0073		None		0
9		1150		13150		0.0091		None		0
9		1200		13200		0.0089		None		0
9		1250		13250		0.0077		None		0
9		1300		13300		0.0072		None		0
9		1350		13350		0.0089		None		0
9		1400		13400		0.0102		None		0
9		1450		13450		0.0100		None		0
9		1500		13500		0.0092		None		0
10		50		13550		0.0079		None		0
10		100		13600		0.0049		None		0
10		150		13650		0.0057		None		0
10		200		13700		0.0061		None		0
10		250		13750		0.0087		None		0
10		300		13800		0.0059		None		0
10		350		13850		0.0083		None		0
10		400		13900		0.0092		None		0
10		450		13950		0.0110		None		0
10		500		14000		0.0057		None		0
10		550		14050		0.0095		None		0
10		600		14100		0.0062		None		0
10		650		14150		0.0062		None		0
10		700		14200		0.0077		None		0
10		750		14250		0.0109		None		0
10		800		14300		0.0070		None		0
10		850		14350		0.0075		None		0
10		900		14400		0.0052		None		0
10		950		14450		0.0060		None		0
10		1000		14500		0.0098		None		0
10		1050		14550		0.0066		None		0
10		1100		14600		0.0063		None		0
10		1150		14650		0.0094		None		0
10		1200		14700		0.0176		None		0
10		1250		14750		0.0190		None		0
10		1300		14800		0.0090		None		0
10		1350		14850		0.0089		None		0
10		1400		14900		0.0131		None		0
10		1450		14950		0.0068		None		0
